2025-01-23 16:35:04,New York City,30\u00baC
2025-01-23 16:35:06,Chicago,28\u00baC
2025-01-23 16:35:07,New York City,24\u00baC
2025-01-23 16:35:08,Shanghai,28\u00baC
2025-01-23 16:35:09,Beijing,27\u00baC
2025-01-23 16:35:10,Seoul,30\u00baC
2025-01-23 16:35:11,Chicago,22\u00baC
2025-01-23 16:35:12,New York City,28\u00baC
2025-01-23 16:35:13,New York City,30\u00baC
2025-01-23 16:35:14,Seoul,23\u00baC
2025-01-23 16:46:04,Pittsburgh,21\u00baC
2025-01-23 16:46:05,Seoul,18\u00baC
2025-01-23 16:46:06,Pittsburgh,20\u00baC
2025-01-23 16:46:07,Tokyo,29\u00baC
2025-01-23 16:46:08,Chicago,21\u00baC
2025-01-23 16:46:09,Tokyo,29\u00baC
2025-01-23 16:46:10,Beijing,22\u00baC
2025-01-23 16:46:11,Tokyo,24\u00baC
2025-01-23 16:46:12,Tokyo,29\u00baC
2025-01-23 16:46:13,New York City,29\u00baC
2025-01-23 16:47:00,Pittsburgh,23\u00baC
2025-01-23 16:47:01,Tokyo,27\u00baC
2025-01-23 16:47:02,Beijing,22\u00baC
2025-01-23 16:47:03,Tokyo,30\u00baC
2025-01-23 16:47:04,Beijing,21\u00baC
2025-01-23 16:47:05,Beijing,28\u00baC
2025-01-23 16:47:06,Chicago,29\u00baC
2025-01-23 16:47:06,Chicago,27\u00baC
2025-01-23 16:47:07,Beijing,25\u00baC
2025-01-23 16:47:08,Seoul,25\u00baC
2025-01-23 16:47:15,Shanghai,32\u00baC
2025-01-23 16:47:16,Beijing,27\u00baC
2025-01-23 16:47:17,New York City,24\u00baC
2025-01-23 16:47:18,Beijing,20\u00baC
2025-01-23 16:47:19,Tokyo,23\u00baC
2025-01-23 16:47:20,Chicago,27\u00baC
2025-01-23 16:47:21,Beijing,19\u00baC
2025-01-23 16:47:22,Seoul,22\u00baC
2025-01-23 16:47:23,Chicago,28\u00baC
2025-01-23 16:47:24,Seoul,29\u00baC
2025-01-23 16:48:00,Seoul,19\u00baC
2025-01-23 16:48:01,Chicago,18\u00baC
2025-01-23 16:48:02,Beijing,24\u00baC
2025-01-23 16:48:03,Seoul,23\u00baC
2025-01-23 16:48:04,New York City,21\u00baC
2025-01-23 16:48:05,New York City,32\u00baC
2025-01-23 16:48:06,Beijing,24\u00baC
2025-01-23 16:48:07,Pittsburgh,30\u00baC
2025-01-23 16:48:08,Beijing,19\u00baC
2025-01-23 16:48:08,Pittsburgh,27\u00baC
2025-01-23 16:35:04,New York City,30\u00baC
2025-01-23 16:35:06,Chicago,28\u00baC
2025-01-23 16:35:07,New York City,24\u00baC
2025-01-23 16:35:08,Shanghai,28\u00baC
2025-01-23 16:35:09,Beijing,27\u00baC
2025-01-23 16:35:10,Seoul,30\u00baC
2025-01-23 16:35:11,Chicago,22\u00baC
2025-01-23 16:35:12,New York City,28\u00baC
2025-01-23 16:35:13,New York City,30\u00baC
2025-01-23 16:35:14,Seoul,23\u00baC
2025-01-23 16:46:04,Pittsburgh,21\u00baC
2025-01-23 16:46:05,Seoul,18\u00baC
2025-01-23 16:46:06,Pittsburgh,20\u00baC
2025-01-23 16:46:07,Tokyo,29\u00baC
2025-01-23 16:46:08,Chicago,21\u00baC
2025-01-23 16:46:09,Tokyo,29\u00baC
2025-01-23 16:46:10,Beijing,22\u00baC
2025-01-23 16:46:11,Tokyo,24\u00baC
2025-01-23 16:46:12,Tokyo,29\u00baC
2025-01-23 16:46:13,New York City,29\u00baC
2025-01-23 16:47:00,Pittsburgh,23\u00baC
2025-01-23 16:47:01,Tokyo,27\u00baC
2025-01-23 16:47:02,Beijing,22\u00baC
2025-01-23 16:47:03,Tokyo,30\u00baC
2025-01-23 16:47:04,Beijing,21\u00baC
2025-01-23 16:47:05,Beijing,28\u00baC
2025-01-23 16:47:06,Chicago,29\u00baC
2025-01-23 16:47:06,Chicago,27\u00baC
2025-01-23 16:47:07,Beijing,25\u00baC
2025-01-23 16:47:08,Seoul,25\u00baC
2025-01-23 16:47:15,Shanghai,32\u00baC
2025-01-23 16:47:16,Beijing,27\u00baC
2025-01-23 16:47:17,New York City,24\u00baC
2025-01-23 16:47:18,Beijing,20\u00baC
2025-01-23 16:47:19,Tokyo,23\u00baC
2025-01-23 16:47:20,Chicago,27\u00baC
2025-01-23 16:47:21,Beijing,19\u00baC
2025-01-23 16:47:22,Seoul,22\u00baC
2025-01-23 16:47:23,Chicago,28\u00baC
2025-01-23 16:47:24,Seoul,29\u00baC
2025-01-23 16:48:00,Seoul,19\u00baC
2025-01-23 16:48:01,Chicago,18\u00baC
2025-01-23 16:48:02,Beijing,24\u00baC
2025-01-23 16:48:03,Seoul,23\u00baC
2025-01-23 16:48:04,New York City,21\u00baC
2025-01-23 16:48:05,New York City,32\u00baC
2025-01-23 16:48:06,Beijing,24\u00baC
2025-01-23 16:48:07,Pittsburgh,30\u00baC
2025-01-23 16:48:08,Beijing,19\u00baC
2025-01-23 16:48:08,Pittsburgh,27\u00baC
2025-01-23 16:49:11,New York City,19\u00baC
2025-01-23 16:49:12,Seoul,24\u00baC
2025-01-23 16:49:13,New York City,27\u00baC
2025-01-23 16:49:14,Chicago,26\u00baC
2025-01-23 16:49:15,Pittsburgh,20\u00baC
2025-01-23 16:49:16,New York City,19\u00baC
2025-01-23 16:49:17,Chicago,18\u00baC
2025-01-23 16:49:18,Seoul,23\u00baC
2025-01-23 16:49:19,Pittsburgh,23\u00baC
2025-01-23 16:49:20,Tokyo,30\u00baC
